edad,peso,talla,talla_sentado,envergadura,estatura_padre,estatura_madre,proyeccion_estatura_adulta_talla_diana,porcentaje_de_altura_adulta_proyectada,crecimiento_restante_cm,pico_veloc_crecimiento,indice_de_maduracion,indice_de_desarrollo_corporal_modificado_idcm,indice_de_rohrer,edad_morfologica,edad_osea,biacro,bilio,humer,femor,tibial_lateral,radial_estiloidea,acromial_radial,long_pie,long_mano,cbz,brrel,brflex,antebr,torax,cintura,pantmax,trc,ssc,ssp,abd,mmed,pant,imc,indice_muscular,iecto,icormico_porcentaje,irmi,indice_de_envergadura_frontal_estatura_ief_e_porcentaje,longitud_relativa_de_miembro_inferior,indice_constitucional_de_pignet,indice_biacromial,indice_acromio_iliaco,indice_braquial_ibb,indice_biacromial_biliocrestal,indice_crural,long_relativa_de_extremidad_superior_lres,longitud_relativa_de_miembro_superior,longitud_relativa_de_muslo,longitud_relativa_de_pierna,longitud_relativa_del_pie,longitud_relativa_de_la_mano,masa_piel_kg,masa_osea_kg,porcentaje_de_masa_osea,masa_adiposa_kg,porcentaje_de_masa_adiposa,masa_muscular_kg,porcentaje_de_masa_muscular,masa_kg,porcentaje_de_masa,peso_predictivo_total_kg,porcentaje_peso_predictivo,peso_ideal_deportista,masa_adiposa_ecuacion_yuhazs,indice_aks,peso_graso,endo,meso,ecto,hwr,area_total_brazo,area_total_muslo,area_total_pierna,musc_brazo,adip_brazo,musc_muslo,adip_muslo,musc_pierna,adip_pierna,total_antebr,porcentaje_grasa_del_brazo,fraccion_lipidica,masa_adiposa,masa_lipida_grasa,porcentaje_lipido_grasa_del_peso,rendimiento_clase,rendimiento_binario
17.660273972602738,51.3,159.0,89,161.0,172,159,180.155,0.8825733396242125,21.155,0.47696296154044915,17.18331101106229,0.9949843289426842,3.2264150943396226,18.35272281687276,19.54564979996949,37.5,25.5,6.3,9.0,35.5,25.5,27.0,25.5,15.5,55.0,26.0,29.0,24.0,85.0,66.0,33.0,8,7,6,12,15,10,20.29191883232467,-5.0,2.7845544688548998,55.9748427672956,78.65168539325843,101.25786163522012,84.79532163742691,22.69999999999999,23.58490566037736,68.0,16.352201257861633,1.4705882352941178,81.60919540229885,27.044025157232703,62.24842767295598,27.358490566037737,22.32704402515723,16.037735849056602,9.748427672955975,2.956172247175704,5.731225510405275,11.17197955244693,13.42770081981376,26.174855399247097,25.921978945735283,50.53017338349958,5.455509487650293,10.634521418421624,53.49258701078031,104.27404875395774,56.75,8.211,0.9421722276874904,13.42770081981376,2.2155179403381404,4.375,2.747525169826865,42.79716553255036,53.79437076506063,215.1774830602425,86.65986651353701,43.89702558963499,9.897345175425635,177.94462892788678,37.232854132355726,70.94526467693446,15.714601836602554,45.83662361046586,18.3984774515737,0.651568206950664,13.427700819813762,8.749062946636013,0.17054703599680338,En desarrollo,0
19.076712328767123,69.7,176.0,89,178.0,175,164,184.195,0.955509107196178,8.194999999999993,1.368848027895392,17.70786430087173,1.1280227346978307,3.960227272727273,20.873828501659414,22.230627354267273,43.0,27.5,6.5,9.5,41.2,28.2,32.5,26.5,18.0,56.0,30.0,33.0,27.0,98.0,75.0,34.0,5,10,7,12,7,7,22.501291322314053,-9.0,2.7692556696160047,50.56818181818182,97.75280898876404,101.13636363636364,69.58393113342898,8.300000000000011,24.431818181818183,63.95348837209303,17.045454545454543,1.5636363636363637,84.94845360824742,27.556818181818183,70.92727272727274,27.556818181818183,23.40909090909091,15.056818181818182,10.227272727272727,3.624829261473023,7.475281661642054,10.724937821581138,15.297816231753687,21.948086415715476,35.343281567296074,50.70772104346639,7.313153209521613,10.492328851537465,69.05436193168646,99.07369000241958,69.5,7.2410000000000005,0.9978800260364019,15.29781623175369,2.07420335798001,3.6377999999999986,2.7293653141416563,42.772356986532316,71.6197243913529,240.7218514264917,91.99155710711551,64.31607393220226,7.303650459150646,221.85669652655645,18.86515489993525,80.47640220718027,11.51515489993524,58.01197675699585,10.19781983415795,0.5991562715548719,15.297816231753687,9.16578253634914,0.13150333624604216,En desarrollo,0
16.87945205479452,51.9,154.0,89,156.0,175,150,177.125,0.8694424841213833,23.125,0.1170459223981486,16.76240613239637,1.0453474561477483,3.37012987012987,18.628053982420045,19.838877491277348,36.5,25.0,6.2,8.5,35.8,24.5,29.0,24.0,15.5,54.0,29.0,32.0,25.0,88.0,69.0,36.0,6,9,6,10,6,7,21.88396019564851,-5.0,1.6808464416947402,57.79220779220779,73.03370786516854,101.29870129870129,78.9980732177264,14.099999999999994,23.7012987012987,68.4931506849315,18.83116883116883,1.46,87.3170731707317,29.22077922077922,63.564935064935064,26.623376623376622,23.246753246753244,15.584415584415584,10.064935064935066,2.9027898100628375,5.257477213390038,10.130013898632058,10.523736597030252,20.27694912722592,27.998151996759734,53.94634296100141,6.105684790305254,11.76432522216812,52.78784040754811,101.71067515905226,53.0,6.853,1.132893553230811,10.523736597030252,2.3003357754781795,5.776600000000002,1.645014753662494,41.291003761834006,66.92465357014198,198.94367886486918,103.13240312354819,58.50739690896507,8.417256661176914,184.2264222036923,14.71725666117689,90.91724822361294,12.215154899935243,49.735919716217296,12.577213645723257,0.5784341691776014,10.52373659703025,6.087288835147111,0.11728880221863412,En desarrollo,0
17.567123287671233,76.9,157.4,89,159.4,172,149,175.105,0.89888923788584,17.704999999999984,0.8089935222899505,16.758129765381284,1.187988984434158,4.885641677255401,20.902672089896157,22.261345775739407,38.0,30.2,6.5,9.2,37.0,25.3,28.0,23.0,15.5,56.0,33.0,36.0,26.0,96.0,90.0,41.0,30,24,21,31,40,31,31.039654874557815,8.0,-0.48782809040366004,56.5438373570521,76.85393258426967,101.27064803049555,56.5669700910273,-15.5,24.142312579415503,79.47368421052632,20.96569250317662,1.2582781456953642,85.05747126436782,27.95425667090216,63.14752223634053,27.63659466327827,23.506988564167724,14.612452350698856,9.847522236340533,0.0,7.052900410152413,9.171521989795075,30.227875267739385,39.30803025713834,39.53353056312558,51.40901243579399,9.588766768813981,12.469137540720391,86.40307300983136,112.3577022234478,55.55000000000001,20.809,1.1968600981420148,30.227875267739385,7.3230331266913335,6.728699999999996,-1.4820423298361405,37.01906785541511,86.65986651353701,367.96622842846205,133.76972966873802,44.22844998411405,42.43141652942296,244.5325990428212,123.43362938564084,77.76740601898751,56.00232364975051,53.79437076506063,48.96316857676536,0.8144195751885155,30.22787526773939,24.618173334403746,0.3201322930351592,En desarrollo,0
16.975342465753425,62.6,170.4,89,172.4,185,163,188.74,0.902829288968952,18.340000000000003,0.2568489919043042,16.718493473849122,0.9348384156858207,3.673708920187793,17.189966037364588,18.307313829793284,36.0,28.5,6.5,9.0,41.8,29.0,31.2,26.3,17.5,57.0,26.0,29.0,23.5,84.0,68.0,35.0,17,16,16,22,18,16,21.5593246489894,-2.0,2.8772981467124623,52.23004694835681,91.46067415730337,101.1737089201878,82.26837060702876,23.80000000000001,21.12676056338028,79.16666666666666,15.258215962441312,1.263157894736842,81.16504854368932,27.699530516431924,70.46995305164319,30.22300469483568,24.53051643192488,15.434272300469482,10.269953051643192,0.0,5.841843533752254,9.332018424524366,23.750465631144053,37.94004094431957,28.52357127964043,45.564810350863304,5.486470216348149,8.7643294190865,63.60235066088488,101.60119913879373,65.30000000000001,13.825000000000001,0.7851941343805187,23.750465631144053,4.918125137977954,3.109400000000001,2.838282923628043,42.921151535010985,53.79437076506063,267.69861428056794,97.4824026437859,33.96417145727925,19.830199307781378,218.04330432997565,49.65530995059228,71.49302194208337,25.98938070170253,43.9466586612496,36.86296358848957,0.7974565077095627,23.750465631144053,18.93996337868813,0.30255532553814907,En desarrollo,0
19.46027397260274,101.0,172.5,89,174.5,185,170,192.275,0.8971525159277077,19.775000000000006,1.9878365306134589,17.47243744198928,1.2094358302877546,5.855072463768116,22.167470141028346,23.608355700195187,37.5,33.0,6.5,9.5,39.0,28.0,33.0,26.5,17.5,58.0,34.0,37.0,28.0,104.0,95.0,41.0,30,35,24,27,28,33,33.94244906532241,5.0,-0.4736424110077415,51.594202898550726,93.82022471910112,101.15942028985508,55.445544554455445,-32.5,21.73913043478261,88.0,19.710144927536234,1.1363636363636365,69.64285714285714,28.405797101449277,71.14492753623189,32.46376811594203,22.608695652173914,15.36231884057971,10.144927536231885,0.0,7.564646837802151,7.489749344358565,36.855141772467334,36.49023937868053,49.672335142520986,49.18052984408018,11.028440653264253,10.919248171548766,105.12056440605473,104.07976673866804,66.875,20.809,1.2496677188637422,36.855141772467334,7.7273144589373155,5.0867,-1.4618619921528975,37.04663662274194,91.99155710711551,459.6394756493938,133.76972966873802,48.06014057769254,43.93141652942297,359.3969972504298,100.24247839896395,74.67271566813623,59.09701400060179,62.38873769202297,47.755922294335086,0.7794789682956386,36.855141772467334,28.72780788519233,0.28443374143754785,En desarrollo,0
18.832876712328765,49.0,172.2,89,174.2,180,172,190.76,0.902704969595303,18.560000000000002,0.9875609920882054,17.84531572024056,0.8611515108165019,2.845528455284553,17.155833374524395,18.270962543868478,39.5,25.0,6.5,9.0,40.5,27.5,32.0,26.0,17.0,52.0,22.0,25.0,22.0,83.0,64.0,31.0,4,8,5,8,5,5,16.524555489457335,-5.0,5.911249966228162,51.68408826945413,93.48314606741572,101.16144018583041,103.06122448979592,40.19999999999999,22.93844367015099,63.29113924050633,12.775842044134727,1.58,80.1980198019802,27.87456445993032,69.37224157955865,29.326364692218352,23.519163763066203,15.098722415795587,9.872241579558654,3.0716682298363533,5.769258062049865,11.773996044999723,12.268427922875507,25.037608005868382,20.53489605199929,41.90795112652916,4.371883983225355,8.92221221066399,46.016134249986365,93.91047806119667,66.64999999999998,5.98,0.7193497131994657,12.268427922875508,1.5342667671775185,1.8991000000000007,5.871003341676889,47.06421221540558,38.515496228238675,175.7866346449984,76.47395015565571,34.24115993438227,4.274336293856408,164.23298418584776,11.553650459150646,68.92029969650507,7.553650459150646,38.515496228238675,11.097705371695465,0.637466339272768,12.268427922875508,7.820709836627259,0.15960632319647466,En desarrollo,0
18.997260273972604,56.9,161.2,89,163.2,158,156,171.57,0.9395581978201317,10.370000000000005,1.2103176347177005,17.786942639254903,0.9575999785264363,3.5297766749379655,18.538853428211073,19.74387890104479,37.5,25.0,5.8,9.0,38.0,25.8,28.5,25.0,16.5,50.0,26.0,29.0,23.5,83.0,66.0,34.0,24,12,13,24,27,17,21.8968776360916,-3.0,2.1401784276596985,55.21091811414392,81.12359550561796,101.24069478908189,86.99472759226714,21.299999999999983,23.26302729528536,66.66666666666666,16.12903225806452,1.5,76.76767676767676,27.60545905707196,64.53573200992555,30.70719602977668,23.573200992555833,15.508684863523575,10.23573200992556,0.0,5.34192940471982,9.38827663395399,22.773313412781384,40.0233979134998,28.304607241583433,49.74447669874066,5.145902200671738,9.043764851795673,61.56575225975638,108.19991609799011,58.39999999999999,14.989,0.8147024298490393,22.773313412781384,5.161918714552361,3.4053000000000004,2.1029562019326455,41.91660683324132,53.79437076506063,291.27344022605496,91.99155710711551,27.118264186229926,26.6761065788307,215.3239928372224,75.94944738883257,65.36135779933413,26.630199307781382,43.9466586612496,49.58902985469401,0.8232901341273975,22.773313412781384,18.749044254134045,0.32950868636439445,En desarrollo,0
23.465753424657535,87.5,174.0,89,176.0,178,162,184.7,0.9420682187330808,10.699999999999989,3.780104467170525,19.68564895748701,1.2568934955079931,5.028735632183908,24.871508740737866,26.488156808885826,41.0,31.0,7.0,10.0,38.5,27.5,32.5,24.0,15.5,58.5,32.0,35.0,29.0,105.0,92.0,37.0,27,27,16,35,30,22,28.900779495309816,1.0,0.5236247990151384,51.14942528735632,95.50561797752809,101.14942528735634,55.42857142857143,-18.5,23.563218390804597,75.60975609756098,18.39080459770115,1.3225806451612903,79.38144329896907,27.873563218390807,68.9080459770115,27.873563218390803,22.126436781609197,13.793103448275861,8.908045977011493,3.959757296282959,8.44932480860996,9.656371209839955,34.03869934488512,38.901370679868705,45.478214090944626,51.975101818222434,9.24819875313757,10.569370003585794,101.17419429386023,115.62765062155455,68.0,17.814,1.0148264445096469,34.03869934488512,6.477770935687106,4.833199999999998,0.1138646418097089,39.19926863635206,81.48733086305042,367.96622842846205,108.94155854640236,44.01288347421782,37.474447388832594,273.0348118990391,94.93141652942296,72.042885657246,36.89867288915636,66.92465357014198,45.98806586488035,0.8093769964303719,34.03869934488512,27.55014023815958,0.31485874557896665,En desarrollo,0
23.4,62.0,167.5,89,169.5,170,152,175.61,0.9538181196970559,8.110000000000014,3.4343545895522376,19.96564541044776,0.8935290986856761,3.701492537313433,19.946467138678276,21.242987502692362,38.5,26.0,6.0,8.5,38.8,27.0,32.0,24.8,16.0,53.0,25.5,28.5,22.0,88.0,70.0,35.0,13,10,7,10,8,14,22.09846290933393,-4.0,2.4412618657831153,53.134328358208954,88.20224719101124,101.19402985074626,86.29032258064517,17.5,22.98507462686567,67.53246753246754,15.223880597014924,1.4807692307692308,72.5233644859813,28.65671641791045,68.55223880597015,31.940298507462686,23.164179104477608,14.805970149253731,9.552238805970148,0.0,5.457367459548853,8.802205579917503,15.844880821814934,25.55625939002409,29.508411189913183,47.59421159663416,5.842518596373484,9.423417090924975,56.65317806765046,91.37609365750072,63.125,9.654,0.982144621314405,15.844880821814934,3.1123509132288008,2.7731999999999957,2.4028769586831302,42.32633464300974,51.74525087275247,277.00917845144386,97.4824026437859,36.497573768894156,15.247677103858315,253.9118332760182,23.09734517542566,74.5217830440449,22.96061959974101,38.515496228238675,29.466814532127998,0.6438976164362987,15.844880821814934,10.202480993883858,0.16455614506264288,En desarrollo,0
